country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09
Hong Kong,Asia & the Pacific,https://pakhockey.org/wp-content/uploads/2017/10/1e54cad04d668d5ef5c9356a15cbd328.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,7,8,10,10,10,11,13,15,16,20,21,26,32,34,38,47,58,66
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,1,2,2,2,3,3,3,4,4,4,7,9,9,13,17,19,25,29,32,35,50,56,68,77,109,114,149,166
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",0,"",0,"",0,1,"",4,4,5,5,5,5,19,25,38,48,49,55,58,78,87,102,114,122,136,157,170,181,191,198,209,221,240
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,12,15,19,26,34,43,54,66,77,92,107,124,145,194,237,291,354,429,514,611,724,853,988,1135,1284,1433,1556,1685,1812,1934,2077,2234,2378,2517,2640,2757,2898,3036,3160,3160,3452,3603,3739,3872,3993
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"",2,6,"",6,8,8,9,9,9,9,11,12,12,14,17,20,23,27,29,36,40,42,42,46,50,50,54,54,56,61,64,64,69
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,1,1,1,2,2,2,2,2,3,3,3,4,6,7,9,19,22,36,46,54,71,85,98,120,137,158,174,210,235
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,8,10,12,15,17,20,21,34,39,46,49,57,65,71
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,11,12,17,21,29,35,52,80,107,148,197,233,366,464,631,827,1016,1268,1441,1811,2158,2505,2978,3407,4032,4827,5476,6077,6820,7505,8165,9136,10023,10781,11591,12430,13157,13917,14681,15362,15889,16525,17129,17669
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,"",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,6,6,6,6,6,6,6,7,9,12,15,19,21,22,24,28,28,29,33,35,36,41,42,43,45,46,49,52,54,56,56,57,63,69,70,73,80,80,81
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","",0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,6,6,6
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,5,6,6,7
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,4,4,4,4,6,6
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,"",0,0,1,2,2,"",3,3,3,3,4,4,4,4,4,4,4,4,6,7,8,10,11,12,12,16,16,17,18,19,19,19
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","",0,0,"",0,0,0,0,0,0,0,1,1,1,1,2,4,4,5,7,7,7,7,8,9,9,9,13,14,15,15
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",0,"",0,"",0,0,0,1,"",1,1,1,2,4,5,8,8,8,8,8,9,15,18,21,22,23,29,30,31,31,36,41,44,46
Macao,Asia & the Pacific,https://cdn.countryflags.com/thumbs/macao/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",0,"","","",0,"",0,0,"",0,0,0,0,0,0,0,1,2,2,2,3,3,4,6,7,9,10,11,12,17,17,21,26,30
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,Africa,https://cdn.countryflags.com/thumbs/malawi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,1,1
Malaysia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/malaysia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,10,14,15,19,23,26,27,34,37,37,45,50,53,57,61,62,63,65
Maldives,Asia & the Pacific,https://cdn.countryflags.com/thumbs/maldives/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Africa,https://cdn.countryflags.com/thumbs/mali/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,1,1,3,3,3,5,5,5,7
Malta,Europe,https://cdn.countryflags.com/thumbs/malta/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marshall Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/marshall-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mauritania,Africa,https://cdn.countryflags.com/thumbs/mauritania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mauritius,Africa,https://cdn.countryflags.com/thumbs/mauritius/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,1,2,2,2,2,2,2,2,3,3,3,5,7,7,7,7,7,7,7
Mexico,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/mexico/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,"","",0,0,0,0,0,0,0,0,0,2,2,2,4,5,5,8,12,16,20,28,29,37,50,60,79,94,125,141,174
Moldova,Europe,https://cdn.countryflags.com/thumbs/moldova/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,4,5,6,8,12,15,19,22,27
Monaco,Europe,https://cdn.countryflags.com/thumbs/monaco/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Mongolia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/mongolia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,Europe,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Morocco,Africa,https://cdn.countryflags.com/thumbs/morocco/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","",0,"","","","","",1,1,1,1,1,1,2,2,2,3,3,4,4,5,6,10,23,23,26,33,36,39,44,44,59,70,80,90,93
Mozambique,Africa,https://cdn.countryflags.com/thumbs/mozambique/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/myanmar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3
Namibia,Africa,https://cdn.countryflags.com/thumbs/namibia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nauru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Nepal,Asia & the Pacific,https://cdn.countryflags.com/thumbs/nepal/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Europe,https://cdn.countryflags.com/thumbs/netherlands/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,12,20,24,43,58,76,106,136,179,213,276,356,434,546,639,771,864,1039,1173,1339,1487,1651,1766,1867,2101,2248
New Zealand,Oceania,https://cdn.countryflags.com/thumbs/new-zealand/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/nicaragua/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Niger,Africa,https://cdn.countryflags.com/thumbs/niger/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,1,1,1,1,1,1,3,3,5,5,5,5,10,10,11,11
Nigeria,Africa,https://cdn.countryflags.com/thumbs/nigeria/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","",0,"","","","",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,5,5,6,6
North Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/north-korea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Norway,Europe,https://cdn.countryflags.com/thumbs/norway/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,7,7,7,8,10,12,14,16,20,22,26,28,32,42,44,50,58,59,69,80
Oman,Asia & the Pacific,https://cdn.countryflags.com/thumbs/oman/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,"","","",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Pakistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/pakistan/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","",0,"","",0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,7,8,9,9,11,13,18,26,31,31,31,35,50,54,58,63
Palau,Asia & the Pacific,https://cdn.countryflags.com/thumbs/palau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Palestine,Asia & the Pacific,http://www.think-israel.org/jan12pix/palestine.flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"",1,1,1,1
Panama,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/panama/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,1,1,1,1,1,1,1,1,1,1,1,3,3,6,6,6,9,14,17,24,26,30,32,37,41,46,54,55,59,63
Papua New Guinea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/papua-new-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/paraguay/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","",0,"",0,0,"",0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5
Peru,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/peru/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,7,8,9,11,16,18,24,30,47,55,61,73,83,92,107,121
Philippines,Asia & the Pacific,https://cdn.countryflags.com/thumbs/philippines/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","","","",1,1,1,1,1,2,2,6,6,12,12,14,17,18,18,25,25,33,35,38,45,54,68,71,88,88,96,107,136,144,152,163,177,182
Poland,Europe,https://cdn.countryflags.com/thumbs/poland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","",0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,5,7,8,10,14,16,16,18,22,31,33,43,57,71,79,94,107,129,159
Portugal,Europe,https://cdn.countryflags.com/thumbs/portugal/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,12,14,23,33,43,60,76,100,119,140,160,187,209,246,266,295,311,345,380
Puerto Rico,Latin America & the Caribbean,https://lh3.googleusercontent.com/proxy/wD5ih2CImlJjdYDkUY5qsAkSbUjKXHhdhU3XEMv06Vfoxr_Ym7RN-yTKZQNuA2Xds-F8NGhcN9_UhFQBCWfpPa91xWx3TpVv,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,3,5,6,8,11,12,15,18,20,21,23,24
Qatar,Asia & the Pacific,https://cdn.countryflags.com/thumbs/qatar/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","",0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4,4,6,6
Romania,Europe,https://cdn.countryflags.com/thumbs/romania/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,13,17,24,29,40,44,69,85,94,133,141,148,157,182,209
Russia,Europe,https://cdn.countryflags.com/thumbs/russia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,"","",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8,10,17,24,30,34,43,45,47,58,63
Rwanda,Africa,https://cdn.countryflags.com/thumbs/rwanda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts & Nevis,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-lucia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent & the Grenadines,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,"","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Asia & the Pacific,https://cdn.countryflags.com/thumbs/samoa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
San Marino,Europe,https://cdn.countryflags.com/thumbs/san-marino/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1,1,1,1,1,1,2,2,3,5,5,5,7,9,11,14,14,14,20,20,20,21,21,21,21,22,24,25,26,26,30,32,32,32,32,34,34
Sao Tome & Principe,Africa,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
