country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.142,"",3.781,"",4.612,4.921,5.189,5.326,"","","",7.145,7.983,"","",11.249,"","",14.825,"","",17.395,"","",18.786,19.199,"","","",22.38,23.122,26.144,28.086,29.525,31.102,32.452,33.975,35.756,37.681,39.656,41.71,43.158
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.005,0.029,0.07,0.125,0.185,0.272,0.306,0.341,0.388,0.451,0.539,0.659,0.861,1.035,1.131,1.274,1.441,1.646,1.896,2.12,2.289,2.39,2.617,2.899,3.211,3.517,3.882,4.167,4.341,4.63,5.101,5.52,5.937,6.39,6.763,6.985,7.365,7.86,8.379,8.902,9.466,10.015,10.512,10.979,"",""
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.012,0.015,0.024,0.024,0.029,0.038,0.045,0.048,0.05,0.06,0.067,0.072,0.085,0.097,0.098,0.125,0.126,0.127,0.132,0.173,0.189,0.204,0.219,0.233,0.253,""
Bosnia & Herzegovina,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.435,1.461,2.043,2.364,2.628,2.849,3.326,3.78,4.298,4.538,4.899,5.596,6.413,"",6.833,7.131,7.847,8.296,8.905,8.957,9.215,9.554,9.935,10.194,10.679,10.761,11.406,11.986,12.296
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.059,2.205,2.389,2.632,2.813,2.97,3.092,3.269,3.7,3.941,4.134,4.454,4.603,4.753,4.973
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.012,"","","","","","","",0.015,"","","","","","",0.047,"","","","","","",0.143,"","","","","","",0.32,"","","","","","",0.551,"","","","","","",0.856,"","",""
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.013,0.031,0.048,0.073,0.082,0.116,0.138,0.169,0.192,0.215,0.245,0.29,0.321,0.354,0.359,0.494,0.59,0.622,0.666,0.718,0.748,0.822,0.848,0.87,0.908,0.996,1.049,1.081,1.182,1.234,1.265,1.296,1.326,1.347,1.362,1.401
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Czech Republic,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","",0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,"",0.005,0.006,"",0.006,0.007,0.007,0.007,0.007,"",0.007,0.007,0.008,"",0.008,"","",0.008,0.008,0.009,0.011,0.013,0.016,0.018,0.019,0.02,0.025,0.032,0.038,0.045,0.056,0.074,0.087,0.112,0.128,0.171,0.221,0.291,0.382,0.477,0.593,0.721,0.884,1.093,1.289,1.466,1.634,1.846,2.125,2.511,2.927,3.421,3.828,4.091,4.59,5.174,5.736,6.327,6.975,7.552,7.995,8.581,9.28,10.048,10.801,11.312,11.767,12.071,12.371,12.947,""
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.851,2.011,"",2.232,2.413,2.581,"",2.98,"",3.484,3.733,4.17,4.677,5.162,5.932,6.888,7.545,8.093,9.085,9.925,10.732,11.167,11.691,12.097,12.438,12.802,13.406
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominican Republic,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.044,0.067,0.096,0.118,0.136,0.16,0.209,0.247,0.294,0.341,0.382,0.403,0.43,0.476,0.52,0.554,0.595,0.652,0.714,0.752,0.831,0.896,1.102,1.244,1.306,1.363,1.416,1.462,1.505
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.039,"",1.202,""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.004,0.01,0.018,0.028,0.034,0.048,0.065,0.087,0.115,0.141,0.196,0.218,0.234,0.283,0.327,0.378,0.478,0.619,0.744,1.126,1.36,1.507,1.921,2.191,2.494,2.983,3.106,3.487,4.566,5.371,6.247,7.21,8.006,8.66,9.547,11.067,12.122,14.049,15.227,16.139,16.8,18.091,19.069,20.304,21.431,22.638,23.326,23.641,24.803,26.117,""
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.25,0.323,0.428,0.548,0.694,0.894,1.076,1.215,1.442,1.728,1.916,2.153,2.436,2.767,3.096,3.536,3.752,3.857,4.078,4.272,4.61,4.96,5.259,5.723,6.015,6.36,6.732,7.146,7.577,8.018,8.251,8.524,8.685,8.75,""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.002,0.006,0.013,0.02,0.029,0.037,0.044,0.055,0.073,0.092,0.117,0.144,0.168,0.193,0.229,"","","","",0.559,"","","","","","","","",1.636,"","","","","","",3.412,"","","","","","",5.079,"","","","","","","",""
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.511,"","","","","","",3.055,"","","","","","",7.279,"","","","","","",11.657,"","","","","","",16.576,"","","","","","",20.94,"","",""
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.082,"","","","","","","","","","","","",0.89,1.235,"",1.445,"",""
Gibraltar,Europe,https://lh3.googleusercontent.com/proxy/qBwbDUoDp8IpO5l0Q0SN8-tmrFfsQCa8r8WwPBVEEqwCvhwXNaxWJcFbh6rs4_9s-nT3YshZE7Gz8UN2BrGHtDEhKFUJGHnWeztnyYQdNqj5QReGV-bBmdNAgxKlgDlM7m6WtyaOupHH,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.646,0.705,0.721,0.779,0.817,0.945,"",1.214,1.294,1.365,1.438,1.507,1.563,1.697,2.021,2.102,2.293,2.359,2.575,2.93,3.029,3.191,3.364,3.806,3.912,4.395,4.573
Greenland,North America,https://lh3.googleusercontent.com/proxy/Yn6DNCKlvLi_LQ83HINL5YZU8WYMMbpxTeEshOMHEtILR8tuhnQfK_OafibEG4g5fSU1enBl5Mf56P4AYSmok5kPuMcbwObh,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hong Kong,Asia & the Pacific,https://pakhockey.org/wp-content/uploads/2017/10/1e54cad04d668d5ef5c9356a15cbd328.png,"","","","","","","","","","",0.478,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.053,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12.724,"","","","","","",15.405,"","","","","","","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.024,"",0.028,0.033,0.038,"",0.055,0.063,0.076,0.089,0.105,0.128,0.153,0.165,0.187,0.241,0.313,0.361,0.462,0.573,0.635,0.709,0.832,0.964,1.071,1.263,1.382,1.47,1.581,1.705,1.847,2.019,2.209,2.316,2.468,2.676,2.892,3.113,3.322,3.485,3.619,3.724,3.88
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.119,0.186,0.224,0.318,0.382,0.522,0.653,0.889,1.069,1.235,1.404,1.512,1.798,2.29,2.724,3.461,4.501,5.442,8.574,13.548,17.627,22.953,26.772,28.459,29.479,30.012,31.349,34.167,36.754,39.662,42.639,45.113,48.026,52.164,56.86,60.98,64.665,68.875,73.986,81.229,84.469,90.165,95.048,"",99.424,100.91,102.71,"",105.874,108.925
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.005,"","","","",0.009,0.01,0.01,0.011,0.012,0.015,0.015,0.018,"",0.02,"","","","","",0.035,0.05,0.058,0.065,0.073,0.082,0.092,0.105,0.117,0.13,0.142,0.157,0.177,0.199
