country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Solomon Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/solomon-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1988,"","","","","","","","","","","","","",1471,1435,1425,1509,"","","","","","","",""
Somalia,Africa,https://cdn.countryflags.com/thumbs/somalia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
South Africa,Africa,https://cdn.countryflags.com/thumbs/south-africa/flag-button-round-250.png,"","","","","","","","","","","",22498,22247,23037,23241,23946,24136,24017,24748,24923,25550,27395,29034,28819,30504,29790,30340,30779,31365,29407,28163,28737,26175,27397,27698,28611,28685,28949,28296,28201,27732,28119,27211,28716,30964,30551,29996,31783,33879,32848,31963,31437,30568,30225,31351,""
South Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/south-korea/flag-button-round-250.png,"","","","","","","","","","","",6002,6411,7353,7853,8063,8818,10071,10877,12370,12585,12169,12740,13595,14620,15143,17181,18371,20480,21600,25206,26826,29474,32729,34406,37333,40179,43335,39281,43132,46551,46907,48502,49235,50388,50755,51317,53090,53844,54076,58679,60668,61040,60844,61514,62957
South Sudan,Africa,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",692,704,706,""
Spain,Europe,https://cdn.countryflags.com/thumbs/spain/flag-button-round-250.png,6171,6484,7038,7251,7951,8312,9196,10250,11556,12209,13061,14478,15067,17142,18376,18698,19862,19319,20438,20571,20999,21167,20473,20718,21090,21436,21815,22292,24024,26388,26952,27885,28265,26969,28330,29506,28951,30640,32054,33470,34933,35598,36144,36718,37663,37813,37147,36983,35196,32071,31899,31281,31207,29215,28663,29904
Sri Lanka,Asia & the Pacific,https://cdn.countryflags.com/thumbs/sri-lanka/flag-button-round-250.png,"","","","","","","","","","","",3464,3618,3627,3383,3474,3433,3337,3457,3527,3507,3521,3670,3636,3693,3590,3657,3744,3745,3707,3701,3712,3766,3929,3738,3827,4253,4383,4433,4709,5155,4949,5002,5254,5281,5361,5370,5436,5314,5240,5608,5986,6408,5668,5997,""
Sudan,Africa,https://cdn.countryflags.com/thumbs/sudan/flag-button-round-250.png,"","","","","","","","","","","",5714,5640,5635,5519,5362,5197,5181,5089,4968,5088,4964,5012,5002,4829,4885,4819,4622,4787,4660,4796,4645,4497,4229,4748,4621,4596,4562,4485,4842,4450,4531,4781,4517,4389,4345,4535,4262,4209,4233,4208,4084,4416,4417,4429,""
Suriname,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/suriname/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15527,16440,11362,11990,12996,14732,13854,12968,13553,13467,15856,15286,16881,14831,14647,""
Swaziland,Africa,https://cdn.countryflags.com/thumbs/swaziland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4169,"","","","","","","","","","","","","",4311,4196,4213,4321,"","","","","","","",""
Sweden,Europe,https://cdn.countryflags.com/thumbs/sweden/flag-button-round-250.png,31386,31890,33578,35825,38070,39978,42294,42219,46529,50046,54443,51757,52651,55519,52456,55411,59909,58787,58344,60820,56655,59279,56728,57466,60665,65781,68370,67024,68087,65064,64134,65715,62445,62036,65828,66316,67745,65965,67101,65843,62338,66061,67478,65714,68004,66420,64303,63640,62568,56791,63126,61344,61284,59854,57759,59345
Switzerland,Europe,https://cdn.countryflags.com/thumbs/switzerland/flag-button-round-250.png,16266,16918,18246,21743,21160,22604,22872,23734,25267,27149,29733,30676,31723,34866,32372,31526,32808,33468,34832,35380,36873,35975,34706,36905,37673,39686,41222,39900,39970,38833,42190,42300,42022,40599,40640,39793,40393,41006,41379,41255,40479,42720,41329,41194,41060,40567,42090,39667,40702,40493,38932,37277,37248,38426,35587,34425
Syria,Asia & the Pacific,https://cdn.countryflags.com/thumbs/syria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Taiwan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/taiwan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Tajikistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tajikistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11682,10919,8756,6744,5094,4488,4271,4195,4347,4257,4019,3898,3837,3833,4062,3970,4008,4193,3904,3318,3311,3247,3413,3699,3900,""
Tanzania,Africa,https://cdn.countryflags.com/thumbs/tanzania/flag-button-round-250.png,"","","","","","","","","","","",6273,6129,5970,5761,5582,5463,5296,5192,5081,4989,4904,4823,4771,4715,4669,4640,4585,4528,4487,4446,4389,4298,4269,4208,4278,4211,4141,4299,4455,4580,4708,4811,4861,5006,5088,5112,5130,5138,5118,5212,5340,5492,5516,5529,""
Thailand,Asia & the Pacific,https://cdn.countryflags.com/thumbs/thailand/flag-button-round-250.png,"","","","","","","","","","","",4193,4278,4519,4493,4763,5048,5251,5335,5516,5400,5350,5308,4787,5191,5528,5702,6186,6931,7632,8621,9251,9757,10203,11180,12105,13387,13477,12486,13178,13353,13614,14931,16053,17228,17599,17837,18488,18892,18728,20391,20270,21632,23162,22906,""
Timor,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197410.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",676,657,654,666,"","","","","","","",""
Togo,Africa,https://cdn.countryflags.com/thumbs/togo/flag-button-round-250.png,"","","","","","","","","","","",3867,3861,3768,3681,3750,3673,3814,3836,3890,3794,3746,3806,3577,3584,3525,3720,3813,3776,3782,3879,3875,3833,3764,4156,4261,4643,4439,4598,5097,4938,4790,4829,4967,4889,4853,4715,4764,4834,5723,5571,5455,5294,5295,5311,""
Tonga,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tonga/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3097,"","","","","","","","","","","","","",6602,6560,6518,6590,"","","","","","","",""
Trinidad & T.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/trinidad-and-tobago/flag-button-round-250.png,"","","","","","","","","","","",32073,32248,31232,31197,26690,29228,32662,38706,39527,41019,42871,42428,43278,48176,50563,52264,48713,53015,51106,56987,56269,61479,58510,58572,56985,67212,63242,73324,85463,90245,100433,108819,121111,126495,144518,160480,169891,164182,165182,175719,172023,166853,169070,168015,""
Tunisia,Africa,https://cdn.countryflags.com/thumbs/tunisia/flag-button-round-250.png,"","","","","","","","","","","",3722,3979,4057,4421,4471,4663,4948,5307,5625,5968,5991,5730,6328,6519,6611,6356,6304,6472,6298,6988,6768,7364,7019,7441,7406,7623,7755,8350,8537,8760,9164,9212,9392,9824,9571,9982,10207,10534,10122,11238,10605,10943,10994,10974,""
Turkey,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkey/flag-button-round-250.png,4525,4483,4781,4902,5046,5185,5562,5628,5779,5949,6073,6363,7016,7558,7639,7922,8425,9033,8797,8182,8317,8196,8515,8814,8970,9307,9826,10690,10564,10776,11370,11022,11187,11678,11356,12242,13097,13563,13605,13154,13968,12725,13251,13705,14010,14423,15754,16710,16297,15942,17150,17982,18438,17944,18350,19268
Turkmenistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkmenistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",55301,46653,30963,30432,37601,37841,32446,31982,33007,38620,38318,38634,39909,44059,45533,46903,47482,53439,53352,46174,51861,55473,56380,56792,56911,""
Tuvalu,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tuvalu/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Uganda,Africa,https://cdn.countryflags.com/thumbs/uganda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ukraine,Europe,https://cdn.countryflags.com/thumbs/ukraine/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",56482,56434,48957,43363,37131,36957,34160,32985,31472,31621,31642,32033,32717,35182,35256,35275,34137,34845,33850,28924,33575,32202,31250,29692,27149,""
U.A.E,Asia & the Pacific,https://cdn.countryflags.com/thumbs/united-arab-emirates/flag-button-round-250.png,"","","","","","","","","","","",42212,36736,38210,33091,40647,44238,63851,65095,68033,80689,92042,94511,86448,106532,114685,123110,128914,124631,135680,127693,138660,124607,123884,130118,131481,132221,132999,129388,125487,116200,140573,132227,121930,119069,113004,102494,96479,100065,90949,86746,86276,89363,90326,90356,""
U.K,Europe,https://cdn.countryflags.com/thumbs/united-kingdom/flag-button-round-250.png,35274,34968,35905,37179,37361,38721,38457,38908,39613,41369,42855,43418,43588,45131,43436,41237,42065,42977,42745,44879,40980,39720,39508,39285,39199,41295,41844,42089,42368,42173,41833,43123,42853,43184,43409,43367,45122,43737,44044,44008,44028,44018,42866,43398,42966,42872,41854,40026,39099,36583,37572,34566,35388,34746,32294,32145
U.S.A,North America,https://cdn.countryflags.com/thumbs/united-states-of-america/flag-button-round-250.png,65613,65268,67158,69626,71372,73360,76657,79198,82264,85275,88028,88905,92353,94942,91988,89042,94209,96361,98138,96843,92368,88940,84423,83725,86565,86716,85783,88645,91292,91764,89222,88753,89288,89661,90223,90292,91231,91046,90757,92147,93701,91038,91218,90646,91662,91254,89523,90227,87086,82070,83284,81742,79892,80267,80892,79056
Uruguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/uruguay/flag-button-round-250.png,"","","","","","","","","","","",9973,10152,9835,9680,10047,10155,10104,10279,10902,10543,10094,8910,8197,7824,7714,7909,8355,8901,9075,8418,9064,9945,9212,8735,9275,10151,10241,10473,11373,10826,9478,8870,8823,10037,10341,11111,11023,14414,14283,14086,15177,15877,15705,16029,""
Uzbekistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/uzbekistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",26292,26688,24545,24960,24215,21818,22134,22092,24162,24545,23999,23844,24531,23443,22842,20927,21119,20677,21205,18514,17594,18768,18910,16508,"",""
Vanuatu,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197489.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1849,"","","","","","","","","","","","","",1709,1666,1679,1850,"","","","","","","",""
Vatican,Europe,https://cdn.countryflags.com/thumbs/vatican-city/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Venezuela,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/venezuela/flag-button-round-250.png,"","","","","","","","","","","",17388,16343,17546,20178,20052,20224,21048,22096,22266,24758,25837,25065,26316,25018,24137,24606,24002,22596,22639,23180,23651,25861,23559,26726,24550,25634,25012,25823,24148,24350,24734,26359,23809,24923,24448,26781,24366,26815,26452,28999,26524,28424,26377,"",""
Vietnam,Asia & the Pacific,https://cdn.countryflags.com/thumbs/vietnam/flag-button-round-250.png,"","","","","","","","","","","",3456,3407,3482,3193,3319,2914,2963,2975,3010,3078,3047,3084,3110,3075,3041,3114,3222,3181,3042,3046,3022,3090,3287,3228,3384,3519,3739,3934,4001,4162,4392,4745,4934,5425,5690,5777,6158,6523,7047,7744,7656,7705,7617,"",""
Yemen,Asia & the Pacific,https://cdn.countryflags.com/thumbs/yemen/flag-button-round-250.png,"","","","","","","","","","","",1357,1046,1730,1395,1176,1390,1456,1484,1454,1821,1729,1958,1997,2016,2051,2138,2441,2501,2460,2424,2809,2915,2399,2389,2594,2553,2627,2726,2992,3088,3329,3135,3386,3593,3722,3875,3689,3785,4087,3858,3171,2792,3758,"",""
Zambia,Africa,https://cdn.countryflags.com/thumbs/zambia/flag-button-round-250.png,"","","","","","","","","","","",9724,9999,10207,10264,9383,10073,9580,9330,9075,9131,8957,8864,8719,8546,8433,8310,8234,8418,8176,7895,7903,7821,7633,7490,7418,7153,7250,7113,6924,6902,6928,6973,7014,7026,7067,7032,6845,6890,6862,6905,7081,7213,7388,"",""
Zimbabwe,Africa,https://cdn.countryflags.com/thumbs/zimbabwe/flag-button-round-250.png,"","","","","","","","","","","",11821,11640,11915,11675,11252,11515,10848,10455,10313,10539,10303,9993,9853,9646,9946,10145,10700,10483,10395,10618,10975,11078,10382,10112,10110,9894,9635,9708,10206,9523,9387,9123,8633,8340,8642,8724,8419,7691,7694,7809,8287,8546,8718,"",""
[WORLD AVERAGE],World,https://webcomicms.net/sites/default/files/clipart/128927/axis-cliparts-128927-7947916.png,"","","","","","","","","","","",15540,15943,16479,16156,15865,16501,16780,17143,17338,16890,16420,16065,15954,16319,16437,16460,16767,17061,17136,19316,19155,18825,18730,18568,18767,18967,18887,18713,18858,19014,19006,19154,19610,20207,20523,20866,21185,21250,20861,21770,21849,21990,22021,22336,""
